Player,School,Position,recruiting_rating,recruiting_stars,recruiting_rank,source,match_found
Micah Morris,Georgia,OL,0.9698,4.0,67.0,cfbd_2021,True
Josh McCray,Georgia,RB,0.89,3.0,,transfer_portal,True
Zion Branch,Georgia,S,0.87,3.0,,transfer_portal,True
Daylen Everette,Georgia,DB,0.9874,5.0,28.0,cfbd_2022,True
Earnest Greene III,Georgia,OL,,,,not_found,False
Christen Miller,Georgia,DL,0.956,4.0,103.0,cfbd_2022,True
Gunner Stockton,Georgia,QB,0.9506,4.0,124.0,cfbd_2022,True
Beau Gardner,Georgia,LS,0.8,3.0,2819.0,cfbd_2020,True
Kavon Townsend,Georgia,WR,,,,not_found,False
Oscar Delp,Georgia,TE,0.9577,4.0,100.0,cfbd_2022,True
JaCorey Thomas,Georgia,DB,0.9,4.0,311.0,cfbd_2022,True
Dillon Bell,Georgia,WR,0.887,3.0,452.0,cfbd_2022,True
Noah Thomas,Georgia,WR,0.93,4.0,,transfer_portal,True
Brett Thorson,Georgia,P,0.8293,3.0,1733.0,cfbd_2022,True
Miles Thornton,Georgia,WR,,,,not_found,False
Patrick Hester,Georgia,TE,,,,not_found,False
Joenel Aguero,Georgia,DB,0.982,4.0,37.0,cfbd_2023,True
CJ Allen,Georgia,LB,0.8256,3.0,2165.0,cfbd_2024,True
Zachariah Branch,Georgia,WR,0.95,4.0,,transfer_portal,True
Monroe Freeling,Georgia,OL,0.9822,4.0,35.0,cfbd_2023,True
Gabe Harris Jr.,Georgia,LB,,,,not_found,False
Bo Hughley,Georgia,OL,0.9457,4.0,115.0,cfbd_2023,True
Daniel Harris,Georgia,DB,0.9347,4.0,158.0,cfbd_2023,True
Jordan Hall,Georgia,DL,0.9824,4.0,34.0,cfbd_2023,True
Josh Horton,Georgia,DT,0.87,3.0,,transfer_portal,True
Lawson Luckie,Georgia,TE,0.9361,4.0,153.0,cfbd_2023,True
Xzavier McLeod,Georgia,DL,0.9261,4.0,190.0,cfbd_2023,True
Raylen Wilson,Georgia,LB,0.9846,5.0,26.0,cfbd_2023,True
Cole Speer,Georgia,WR,0.8722,3.0,731.0,cfbd_2022,True
Terrell Foster,Georgia,LB,,,,not_found,False
Cash Jones,Georgia,RB,0.8285,3.0,1795.0,cfbd_2021,True
Drew Bobo,Georgia,OL,0.8748,3.0,663.0,cfbd_2022,True
Micah Bell,Georgia,RB,0.83,3.0,,transfer_portal,True
Jaden Harris,Georgia,S,0.86,3.0,,transfer_portal,True
Henry Bates,Georgia,PK,,,,not_found,False
Roderick Robinson II,Georgia,RB,0.9291,4.0,179.0,cfbd_2023,True
Jamal Meriweather,Georgia,OL,0.8879,3.0,481.0,cfbd_2023,True
Peyton Woodring,Georgia,PK,0.8333,3.0,1827.0,cfbd_2023,True
London Humphreys,Georgia,WR,0.8876,3.0,488.0,cfbd_2023,True
KJ Bolden,Georgia,DB,0.994,5.0,13.0,cfbd_2024,True
Chauncey Bowens,Georgia,RB,0.9174,4.0,225.0,cfbd_2024,True
Daniel Calhoun,Georgia,OL,0.9491,4.0,113.0,cfbd_2024,True
Waltclaire Flynn Jr.,Georgia,OL,0.86,3.0,,transfer_portal,True
Justin Greene,Georgia,DE,0.9255,4.0,184.0,cfbd_2024,True
Kris Jones,Georgia,LB,0.9405,4.0,132.0,cfbd_2024,True
Dwight Phillips Jr.,Georgia,RB,0.9147,4.0,243.0,cfbd_2024,True
Malachi Toliver,Georgia,OL,0.8642,3.0,1094.0,cfbd_2024,True
Michael Uini,Georgia,OL,0.9534,4.0,94.0,cfbd_2024,True
Ryan Puglisi,Georgia,QB,0.9487,4.0,114.0,cfbd_2024,True
Ellis Robinson IV,Georgia,DB,0.9994,5.0,2.0,cfbd_2024,True
Jordan Thomas,Georgia,DL,0.9472,4.0,123.0,cfbd_2026,True
Justin Williams,Georgia,LB,0.9339,4.0,157.0,cfbd_2026,True
Luke Bennett,Georgia,WR,,,,not_found,False
Jacob Fleming,Georgia,S,,,,not_found,False
Denton Shamburger,Georgia,DB,,,,not_found,False
Jacob Hardie,Georgia,RB,,,,not_found,False
Cooper Johnson,Georgia,TE,,,,not_found,False
Ondre Evans,Georgia,DB,0.9566,4.0,85.0,cfbd_2024,True
Nate Frazier,Georgia,RB,0.9777,4.0,49.0,cfbd_2024,True
Adrian Maddox,Georgia,S,0.86,3.0,,transfer_portal,True
Colbie Young,Georgia,WR,,,,not_found,False
Gannon Hearst,Georgia,RB,,,,not_found,False
Kyron Jones,Georgia,DB,0.8772,3.0,667.0,cfbd_2023,True
Sacovie White-Helton,Georgia,WR,,,,not_found,False
Demello Jones,Georgia,DB,0.9763,4.0,50.0,cfbd_2024,True
Colton Heinrich,Georgia,TE,0.8808,3.0,641.0,cfbd_2024,True
Joseph Jonah-Ajonye,Georgia,DL,0.9881,5.0,25.0,cfbd_2024,True
Nyier Daniels,Georgia,OL,0.91,4.0,271.0,cfbd_2024,True
Ethan Barbour,Georgia,TE,0.9306,4.0,169.0,cfbd_2025,True
Juan Gaston,Georgia,OL,0.974,4.0,52.0,cfbd_2025,True
Jontae Gilbert,Georgia,DB,0.9175,4.0,230.0,cfbd_2025,True
Elijah Griffin,Georgia,DL,0.9992,5.0,3.0,cfbd_2025,True
Dontrell Glover,Georgia,OL,0.9025,4.0,320.0,cfbd_2025,True
Ryan Montgomery,Georgia,QB,0.9408,4.0,132.0,cfbd_2025,True
Talyn Taylor,Georgia,WR,0.9877,5.0,20.0,cfbd_2025,True
Mason Short,Georgia,OL,0.9137,4.0,250.0,cfbd_2025,True
Cortez Smith,Georgia,OL,0.9331,4.0,158.0,cfbd_2025,True
Zayden Walker,Georgia,LB,0.9871,5.0,24.0,cfbd_2025,True
CJ Wiley,Georgia,WR,0.953,4.0,91.0,cfbd_2025,True
Elyiss Williams,Georgia,TE,0.9854,5.0,29.0,cfbd_2025,True
Rasean Dinkins,Georgia,S,0.8988,4.0,362.0,cfbd_2025,True
Isaiah Gibson,Georgia,DE,0.9962,5.0,9.0,cfbd_2025,True
Chris Cole,Georgia,LB,0.9866,5.0,29.0,cfbd_2024,True
Drew Miller,Georgia,P,0.8367,3.0,1929.0,cfbd_2024,True
Marcus Harrison,Georgia,OL,0.8989,4.0,369.0,cfbd_2024,True
Nnamdi Ogboko,Georgia,DL,0.8756,3.0,752.0,cfbd_2024,True
Quintavius Johnson,Georgia,LB,0.8991,4.0,366.0,cfbd_2024,True
Nasir Johnson,Georgia,DL,0.9496,4.0,108.0,cfbd_2024,True
Thomas Blackshear,Georgia,WR,0.9137,4.0,249.0,cfbd_2025,True
Elo Modozie,Georgia,LB,0.92,4.0,,transfer_portal,True
Will Snellings,Georgia,LS,,,,not_found,False
David Lalaian,Georgia,TE,,,,not_found,False
Liam Badger,Georgia,PK,,,,not_found,False
